State,Agency,Phone Number(s),Time Zone,Call Date,Time Start [EST],Time Pick Up [EST],Wait Time,Website
Alabama,Alabama Department of Labor,866-234-5382,Central Time Zone,6/29/2023,11:12 AM,11:34 AM,22 minutes,https://labor.alabama.gov/uc/ICCS/
Alaska,Alaska Department of Labor and Workforce Development,907-269-4700,"Alaska Time Zone, Hawaii-Aleutian Time Zone",6/29/2023,12:40 PM,1:23 PM,43 minutes,https://my.alaska.gov/
Arizona,Arizona Department of Economic Security,1-877-600-2722,Mountain Time Zone,6/29/2023,1:55 PM,2:02 PM,7 minutes,https://des.az.gov/services/employment/unemployment-individual/apply-ui-benefits
Arkansas,Arkansas Department of Workforce Services,501-682-2121,Central Time Zone,6/29/2023,3:08 PM,3:40 PM,32 minutes,https://www.ezarc.adws.arkansas.gov/
California,California Employment Development Department,1-800-300-5616,Pacific Time Zone,6/30/2023,1:34 PM,1:38 PM,4 minutes,https://edd.ca.gov/Unemployment/Filing_a_Claim.htm
Colorado,Colorado Department of Labor and Employment,303-318-9000,Mountain Time Zone,6/30/2023,1:42 PM,1:59 PM,17 minutes,https://www.colorado.gov/cdle/unemployment
Connecticut,Connecticut Department of Labor,1-800-956-3294,Eastern Time Zone,6/30/2023,2:15 PM,2:27 PM,12 minutes,http://www.ctdol.state.ct.us/UI-OnLine/
Delaware,Delaware Department of Labor,"New Castle County: 302-761-6576
Other Areas: 1-800-794-3032",Eastern Time Zone,6/30/2023,New Castle: 3:50 PM,New Castle: 4:14 PM,24 minutes,https://uics.delawareworks.com/Forms/Form_WL1
District of Columbia,District of Columbia Department of Employment Services,202-724-7000,"Eastern Time Zone, Central Time Zone",,,,,https://does.dcnetworks.org/InitialClaims/
Florida,Florida Department of Economic Opportunity,1-800-204-2418,Eastern Time Zone,,,,,http://www.floridajobs.org/Reemployment-Assistance-Service-Center/reemployment-assistance/claimants/apply-for-benefits
Georgia,Georgia Department of Labor,1-877-709-8185,Hawaii-Aleutian Time Zone,,,,,https://dol.georgia.gov/
Hawaii,Hawaii Department of Labor and Industrial Relations,"Oahu: 808-586-8970
Hilo: 808-974-4086
Kona: 808-322-4822
Maui: 808-984-8400
Kauai: 808-274-3043","Mountain Time Zone, Pacific Time Zone",,,,,https://huiclaims.hawaii.gov/
Idaho,Idaho Department of Labor,208-332-8942,Central Time Zone,,,,,https://www2.labor.idaho.gov/ClaimantPortal/Login
